Site,LABNR,C14AGE,C14STD,Lat,Lon
CAMPURRAS / CEREIXO- CHAN DO,Beta 220082,5160,60,42.07,-8.77
CADAVAL,ICEN 464,5160,50,39.65,-8.41
LLAGUNA DE NI…VARES D,GrN 16647,5135,40,43.49,-5.45
COSTA DO PEREIRO,Wk 13682 ,5133,45,39.58,-8.55
COTERO DE LA MINA,AA 45916*,5133,55,43.35,-4.4
ANTELAS,GrA 5417*,5120,50,40.71,-8.24
LLAGUNA DE NI…VARES A,GrN 18283,5140,60,43.49,-5.45
OTSAARTE,0,5120,75,42.94,-2.26
CORTIJO DEL PUERTO,UGRA 327,5160,110,37.56,-3.89
CARAPITO 1,OxA 3733*,5125,70,40.75,-7.47
FUENTE HOZ,I 11589,5160,110,42.81,-2.91
LLAGUNA DE NI…VARES D,GrN 16648,5110,60,43.49,-5.45
LOS LLANOS,I 15168,5190,140,42.59,-2.53
PICOTO DO VASCO,GrN 22817,5100,60,40.9,-7.81
SENHORA DO MONTE,ICEN 1200,5100,70,41.02,-7.44
LUMENTXA,Ua 12663*,5095,75,43.36,-2.5
BUGALHEIRA- Sala Ricadro,ICEN 739,5090,60,39.5,-8.62
MOURA- CASA DA,TO 2093*,5070,70,39.32,-9.27
ANTELAS,OxA 5498*,5070,65,40.71,-8.24
LLAGUNA DE NI…VARES A,GrN 18282,5175,25,43.49,-5.45
SENHORA DO MONTE,GrN 20791,5130,40,41.02,-7.44
MINA DO SIM√O,CSIC 716,5050,70,41.2,-8.03
MARROQUIES BAJOS,Ua 34552*,5135,155,37.78,-3.79
CHA DE PARADA 3 ,Gif 8289,5070,100,41.2,-8.01
PAU 2- ALTO DA PORTELA DO,CSIC 1120,5131,28,42.07,-8.1
MONTE AREO 12,CSIC 1380,5133,30,43.53,-5.78
PICOTO DO VASCO,CSIC 1328,5124,30,40.9,-7.81
MADORRA DA GRANXA,CSIC 1376,5106,30,43.14,-7.52
SAN CRISTOBAL,0,5100,30,42.6,-2.62
CARAPITO 1,TO 3336*,5120,40,40.75,-7.47
MONTE AREO 15,GrN 19724,5040,70,43.53,-5.78
CASTELO 1- MAMOA DO,CSIC 1818,5112,36,41.48,-7.4
TOSSAL DE LES BASSES,Beta 225224*,5010,40,38.37,-0.45
NERJA- CUEVA DE,GrN 5526,5065,40,36.762041N,-3.84
PAU 2- ALTO DA PORTELA DO,CSIC 1119,5087,31,42.07,-8.1
MONTE DEVA 5,Beta 165948,5070,50,43.49,-5.59
CASTENAIRAS / CASTONAIRAS,GrN 4924,5060,50,40.83,-7.76
SENHORA DO MONTE,GrN 21304,5060,50,41.02,-7.44
LA XORENGA 1,CSIC 1381,5080,30,43.1,-6.92
SANTIMAMI—E,CSIC 614,5060,50,43.34,-2.64
MORENTE- CERRO,UGRA 436,5060,50,37.32,-2.92
ROMEA- MONTE DA,Ua 20005*,5055,50,42.65,-8.14
SEIXAS- ORCA DE,GrN 26226,5045,25,40.95,-7.68
LA XORENGA 1,CSIC 1382,5059,30,43.1,-6.92
ORQUINHA DOS JUNCAIS,GrA 17163*,5020,60,40.82,-7.73
BURACA GRANDE,Gif 9941,5030,20,40.01,-8.54
CHA DE PARADA 3 ,GrN 17433,5055,40,41.2,-8.01
CAMPO DE HOCKEY,CNA 360,5020,50,38.45,-6.21
SANTIMAMI—E,Beta 240897,5010,50,43.34,-2.64
MONTE DOS REMEDIOS,Ua 32667*,5015,40,42.27,-8.76
PEÑA LARGA,0,5010,40,42.62,-2.51
CHA DE PARADA 1,CSIC 979,5010,35,41.2,-8.01
PAU 2- ALTO DA PORTELA DO,CSIC 1362,5003,34,42.07,-8.1
LAMEIRA DE CIMA 2,CSIC 1114,4999,29,40.94,-7.35
CHA DE SANTINHOS 1,Gif 6783,4980,50,41.18,-8.07
MONTE DOS REMEDIOS,Ua 32666*,5000,40,42.27,-8.76
SENHORA DO MONTE,ICEN 1201,4990,50,41.02,-7.44
VALE DE RODRIGO 3,KIA 31381*,4996,29,38.52,-8.05
ALGAR DO BOM SANTO,Wk 27996*,4993,30,39.04,-9.02
LAMEIRA DE CIMA 2,GrN 21353,4990,40,40.94,-7.35
MEROUCOS- ORCA DE,GrA 14767*,4990,40,40.92,-7.72
CASTELO VELHO,ICEN 882,4890,100,41.07,-7.19
PICOTO DO VASCO,CSIC 1199,4988,31,40.9,-7.81
MEROUCOS- ORCA DE,GrA 14768*,4980,40,40.92,-7.72
SAN CRISTOBAL,0,4980,30,42.6,-2.62
CHABOLA DE LA HECHICERA,Beta 307796,4980,30,42.57,-2.55
SEIXAS- ORCA DE,GrN 26225,4970,25,40.95,-7.68
MEROUCOS- ORCA DE,GrA 14765*,4960,40,40.92,-7.72
OUTEIRO DE GREGOS 2,CSIC 774,5030,70,41.19,-8.04
ALBERITE 1,Beta 80598,5020,70,36.82,-5.64
PONTE DA PEDRA,GrN 19217,5020,70,43.46,-7.86
MOURA- CASA DA,TO 2094*,5020,70,39.32,-9.27
ALGAR DO BOM SANTO,Wk 27988*,4960,31,39.04,-9.02
LAMEIRA DE CIMA 2,CSIC 1113,4961,27,40.94,-7.35
PEDRA CUBERTA,CAMS 77923*,5010,60,43.09,-8.98
ALGAR DO BOM SANTO,Wk 25161*,4960,30,39.04,-9.02
MINA DO SIM√O,CSIC 715,5010,70,41.2,-8.03
ALGAR DO BOM SANTO,Wk 27984*,4949,32,39.04,-9.02
SEIXAS- ORCA DE,CSIC 1665,4939,34,40.95,-7.68
CHABOLA DE LA HECHICERA,Beta 307795,4940,30,42.57,-2.55
PEDRA MOURA,CAMS 77761*,4980,70,43.08,-8.98
ALGAR DO BOM SANTO,Wk 27986*,4929,30,39.04,-9.02
CHA DE PARADA 1,ICEN 781,4980,50,41.2,-8.01
ALAGOA,Ua 19526*,4975,50,41.47,-7.4
CHA DE PARADA 1,CSIC 822,4970,50,41.2,-8.01
PADROES- ORCA DOS,OxA 4484*,4960,65,40.55,-7.67
EKAIN,Ua 36855*,4960,60,43.24,-2.28
MANDUBI-ZELAIA,GrA 16945*,4950,45,43.09,-2.25
OUTEIRO DE GREGOS 2,CSIC 547,4950,50,41.19,-8.04
RIA DE GUERNICA,Beta 218475*,4940,40,43.32,-2.68
MENGA,Ua 24582*,4935,40,37.02,-4.55
CHA DE PARADA 1,ICEN 780,4930,50,41.2,-8.01
CHA DE SANTINHOS 2,Gif 6785,4930,50,41.18,-8.07
CHA DE SANTINHOS 2,Gif 6784,4990,50,41.18,-8.07
SAN CRISTOBAL,0,4930,40,42.6,-2.62
AS CRUCES/REBORICA,Utc 4002*,4927,48,43.19,-7.97
LOS HUSOS II,Beta 208849*,4930,40,42.6,-2.55
CHA DE PARADA 1,CSIC 953,4920,40,41.2,-8.01
CHA DE PARADA 1,CSIC 823,4910,50,41.2,-8.01
MEROUCOS- ORCA DE,GrA 14770*,4910,40,40.92,-7.72
SEIXAS- ORCA DE,GrN 5734,4900,40,40.95,-7.68
DOMBATE,CAMS 101903*,4900,40,43.19,-8.97
LAMEIRA DE CIMA 1,OxA 4084*,4990,80,40.94,-7.35
SEIXAS- ORCA DE,CSIC 1664,4929,34,40.95,-7.68
DOMBATE,CAMS 101904*,4890,40,43.19,-8.97
KOBAEDERRA,0,4965,70,43.34,-2.62
BARROCAL ALTO,CSIC 726,4960,75,41.27,-6.55
MENINAS DO CRASTO 3,CSIC 776,4960,70,41.2,-8.02
HIRUMUGARRIETA 2,Ua 3128*,4950,85,43.27,-2.89
COTOGRANDE 1,GrN 18420,4940,80,42.22,-8.64
HERRIKO BARRA,I 15349,4920,100,43.28,-2.18
CEREIXO- CHAN DO,Beta 220081,4890,100,42.07,-8.77
DOMBATE,UtC 3203,4950,70,43.19,-8.97
CALDEIRAO,TO 349*,4940,70,39.65,-8.41
DOMBATE,CSIC 890,4930,70,43.19,-8.97
EL PALOMAR,Beta 75067,4930,70,37.16,-5.72
MIR”N- CUEVA DEL,GX 28211,4910,80,43.25,-3.45
PICOTO DO VASCO,OxA 6910*,4930,60,40.9,-7.81
BARREIRO,CSIC 759,4930,60,41.21,-8.04
MARXOS- MONTE DOS,CAMS 77925*,4920,60,42.72,-7.91
DOMBATE,CSIC 891,4910,60,43.19,-8.97
LOS HUSOS II,Beta 208848*,4910,60,42.6,-2.55
VALE DE RODRIGO 2,Ua 10830*,4905,70,38.52,-8.05
FORNO DOS MOUROS,CAMS 80501*,4900,60,43.01,-7.97
MORCIGUEIRA,GrN 16645,4880,80,43,-7.99
HIRUMUGARRIETA 2,Ua 3126*,4865,90,43.27,-2.89
PE—A LARGA,Beta 242781*,4890,50,42.62,-2.51
ALGAR DO BOM SANTO,Wk 27985*,4887,30,39.04,-9.02
CHA DE PARADA 1,ICEN 407,4880,50,41.2,-8.01
RIA DE GUERNICA,Beta 218471*,4850,60,43.32,-2.68
AREITA- ORCA DA,GrA 18497*,4840,60,41.05,-7.39
COTOGRANDE 2,GrN 19734,4875,40,42.22,-8.64
PORTO COVO,Beta 245134,4870,40,38.75,-9.42
MENGA,Ua 24583*,4865,40,37.02,-4.55
MENGA,Ua 36216,4760,30,37.02,-4.55
LAPA DO BUGIO,GrN  5628,4850,45,38.43,-9.18
CARAPITO 1,GrN 5110,4850,40,40.75,-7.47
MONTE AREO 15,GrN 22025,4850,40,43.53,-5.78
AS CRUCES/REBORICA,UtC 4004*,4835,45,43.19,-7.97
ALTO DO CASTELO,ICEN 118,4820,50,39.24,-8.59
IRITEGI,I 18631,4860,100,42.98,-2.41
